Id_badanie Nazwa_badania Cena_Badania
Id_1 RTG_kosci_pietowej 30
Id_10 RTG_zeber 60
Id_11 RTG_obojczyka 50
Id_12 RTG_zatok 32
Id_13 RTG_stawu_barkowego 50
Id_14 RTG_kosci_nosa 30
Id_15 RTG_stawu_mostkowo-obojczykowego 58
Id_16 RTG_stawu_biodrowego 50
Id_17 RTG_kosci_ramieniowej 30
Id_18 RTG_stawu_skokowego 45
Id_19 RTG_stawu_lokciowego 44
Id_2 RTG_kosci_krzyzowej_i_ogonowej 32
Id_20 RTG_stawu_kolanowego 40
Id_21 RTG_klatki_piersiowej 30
Id_22 RTG_kosci_podudzia 30
Id_23 RTG_palca_(palcow)_reki 38
Id_24 RTG_palca_(palcow)_stopy 40
Id_25 RTG_nadgarstka 40
Id_26 RTG_przedramienia 40
Id_3 RTG_kosci_udowej 36
Id_4 RTG_kregoslupa_piersiowego 56
Id_5 RTG_kregoslupa_piersiowo-ledzwiowego 50
Id_6 RTG_kregoslupa_ledzwiowo-krzyzowego 50
Id_7 RTG_kregoslupa_szyjnego 40
Id_8 RTG_miednicy 58
Id_9 RTG_stopy 48
